scraped_at,model,name,price_before_discount,price_after_discount,price_with_vat,availability
2026-05-24T20:35:28Z,DS-2CD2087G3-LI2UY/SL,Hikvision | DS-2CD2087G3-LI2UY/SL | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-24T20:35:28Z,DS-2CD2087G3-LI2UY/SRB,Hikvision | DS-2CD2087G3-LI2UY/SRB | ColorVu 8MP Bullet IP Camera 4mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-24T20:35:28Z,DS-2CD2087G3-LIY,Hikvision | DS-2CD2087G3-LIY | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,405.09,303.82,361.55,Temporarily out of stock
2026-05-24T20:41:02Z,DS-2CD2087G3-LI2UY/SL,Hikvision | DS-2CD2087G3-LI2UY/SL | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-24T20:41:02Z,DS-2CD2087G3-LI2UY/SRB,Hikvision | DS-2CD2087G3-LI2UY/SRB | ColorVu 8MP Bullet IP Camera 4mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-24T20:41:02Z,DS-2CD2087G3-LIY,Hikvision | DS-2CD2087G3-LIY | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,405.09,303.82,361.55,Temporarily out of stock
2026-05-25T02:45:33Z,DS-2CD2087G3-LI2UY/SL,Hikvision | DS-2CD2087G3-LI2UY/SL | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-25T02:45:33Z,DS-2CD2087G3-LI2UY/SRB,Hikvision | DS-2CD2087G3-LI2UY/SRB | ColorVu 8MP Bullet IP Camera 4mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-25T02:45:33Z,DS-2CD2087G3-LIY,Hikvision | DS-2CD2087G3-LIY | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,405.09,303.82,361.55,Temporarily out of stock
2026-05-25T03:54:23Z,DS-2CD2087G3-LI2UY/SL,Hikvision | DS-2CD2087G3-LI2UY/SL | ColorVu 8MP Bullet IP Camera 2.8mm Fixed Lens,408.76,306.57,364.82,in Stock
2026-05-25T03:54:23Z,DS-2CD2087G3-LI2UY/SRB,Hikvision | DS-2CD2087G3-LI2UY/SRB | ColorVu 8MP Bullet IP Camera 4mm Fixed Lens,408.76,306.57,364.82,in Stock
